ds,ds_checkin,ds_checkout,n_nights,n_guests_min,n_guests_max,origin_country,room_type_clean,nights_bucket,search_year,search_month,checkin_dow,checkin_month,lead_time_days,has_price_filter
2014-10-01,2014-10-09,2014-10-12,3.0,2,2,IE,Entire home/apt,3-5 nights,2014,10,3.0,10.0,8.0,True
2014-10-01,2014-10-09,2014-10-19,10.0,1,2,IE,No Filter,6-14 nights,2014,10,3.0,10.0,8.0,True
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2014-11-08,2014-11-10,2.0,1,2,GB,Entire home/apt,1-2 nights,2014,10,5.0,11.0,38.0,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-03,2014-10-05,2.0,5,5,SE,No Filter,1-2 nights,2014,10,4.0,10.0,2.0,False
2014-10-01,2014-11-01,2014-11-09,8.0,1,1,IE,Entire home/apt,6-14 nights,2014,10,5.0,11.0,31.0,False
2014-10-01,2015-03-30,2015-04-04,5.0,1,1,IE,Entire home/apt,3-5 nights,2014,10,0.0,3.0,180.0,False
2014-10-01,2015-03-30,2015-04-05,6.0,1,2,IE,Entire home/apt,6-14 nights,2014,10,0.0,3.0,180.0,False
2014-10-01,2015-02-21,2015-02-28,7.0,2,2,DE,Entire home/apt,6-14 nights,2014,10,5.0,2.0,143.0,True
2014-10-01,2014-10-01,2014-10-05,4.0,1,1,IT,No Filter,3-5 nights,2014,10,2.0,10.0,0.0,False
2014-10-01,,,,1,2,GB,Entire home/apt,nan,2014,10,,,,True
2014-10-01,,,,1,1,IT,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-18,2014-10-22,4.0,1,3,IT,Shared room,3-5 nights,2014,10,5.0,10.0,17.0,False
2014-10-01,,,,1,1,DE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-03,2014-10-05,2.0,2,2,DE,No Filter,1-2 nights,2014,10,4.0,10.0,2.0,False
2014-10-01,2014-11-06,2014-11-10,4.0,1,1,US,Entire home/apt,3-5 nights,2014,10,3.0,11.0,36.0,True
2014-10-01,2015-03-05,2015-03-10,5.0,4,4,GB,Entire home/apt,3-5 nights,2014,10,3.0,3.0,155.0,True
2014-10-01,2015-03-17,2015-03-20,3.0,1,2,CA,No Filter,3-5 nights,2014,10,1.0,3.0,167.0,True
2014-10-01,2015-03-20,2015-03-24,4.0,1,1,CA,No Filter,3-5 nights,2014,10,4.0,3.0,170.0,False
2014-10-01,,,,1,1,US,No Filter,nan,2014,10,,,,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,,,,1,1,IE,Entire home/apt,nan,2014,10,,,,False
2014-10-01,2014-11-01,2014-11-03,2.0,1,9,IE,Entire home/apt,1-2 nights,2014,10,5.0,11.0,31.0,False
2014-10-01,2014-10-28,2014-11-01,4.0,5,5,ES,Entire home/apt,3-5 nights,2014,10,1.0,10.0,27.0,True
2014-10-01,2014-10-28,2014-11-29,32.0,5,5,ES,Entire home/apt,15+ nights,2014,10,1.0,10.0,27.0,False
2014-10-01,2014-11-11,2014-11-15,4.0,5,6,ES,Entire home/apt,3-5 nights,2014,10,1.0,11.0,41.0,True
2014-10-01,2014-11-11,2014-11-29,18.0,6,6,ES,Entire home/apt,15+ nights,2014,10,1.0,11.0,41.0,True
2014-10-01,2014-11-18,2014-11-22,4.0,4,6,ES,Entire home/apt,3-5 nights,2014,10,1.0,11.0,48.0,True
2014-10-01,2014-11-18,2014-11-29,11.0,4,4,ES,Entire home/apt,6-14 nights,2014,10,1.0,11.0,48.0,True
2014-10-01,2014-11-25,2014-11-29,4.0,4,6,ES,Entire home/apt,3-5 nights,2014,10,1.0,11.0,55.0,True
